72,201518,10,Chandanaish,চন্দনাইশ,712293,449576,0,291,0,1,
73,201519,10,Chandgaon,চান্দগাঁও,691663,468930,0,0,0,1,
74,201520,10,Chattogram Port,চট্টগ্রাম বন্দর,683305,457694,0,0,0,1,
75,201528,10,Double Mooring,ডবলমুরিং,685724,461353,0,0,0,1,
76,201533,10,Fatikchhari,ফটিকছড়ি,679138,508441,0,279,0,1,
77,201535,10,Halishahar,হালিশহর,682205,461106,0,0,0,1,
78,201537,10,Hathazari,হাটহাজারী,684328,482107,0,282,0,1,
79,201539,10,Karnafuli,কর্ণফুলী,690299,458117,0,0,0,1,
80,201541,10,Kotwali,কোতয়ালী,688034,462791,0,0,0,1,
81,201543,10,Khulshi,খুলশী,684350,465362,0,0,0,1,
82,201547,10,Lohagara,লোহাগাড়া,717382,424215,0,292,0,1,
83,201553,10,Mirsharai,মিরসরাই,659495,511627,0,278,0,1,
84,201555,10,Pahartali,পাহাড়তলী,682259,463917,0,0,0,1,
85,201557,10,Panchlaish,পাঁচলাইশ,686886,466263,0,0,0,1,
86,201561,10,Patiya,পটিয়া,704416,458901,0,289,290,1,1
87,201565,10,Patenga,পতেঙ্গা,685512,453349,0,0,0,1,
88,201570,10,Rangunia,রাঙ্গুনিয়া,712421,476867,0,284,0,1,
89,201574,10,Raozan,রাউজান,696699,482658,0,283,0,1,
90,201578,10,Sandwip,সন্দ্বীপ,650783,479314,0,280,0,1,
91,201582,10,Satkania,সাতকানিয়া,711581,437700,0,291,0,1,
92,201586,10,Sitakunda,সীতাকুণ্ড,675155,482457,0,281,0,1,
93,201909,11,Barura,বরুড়া,606164,573898,0,256,0,1,
94,201915,11,Brahman Para,ব্রাহ্মণপাড়া,612757,605560,0,253,0,1,
95,201918,11,Burichang,বুড়িচং,613183,593694,0,253,0,1,
96,201927,11,Chandina,চান্দিনা,596612,583862,0,255,0,1,
97,201931,11,Chauddagram,চৌদ্দগ্রাম,630802,559459,0,259,0,1,
98,201933,11,Cumilla Sadar Dakshin,কুমিল্লা সদর দক্ষিণ,618832,567412,0,259,0,1,
99,201936,11,Daudkandi,দাউদকান্দি,577230,591768,0,249,0,1,
100,201940,11,Debidwar,দেবীদ্বার,601828,598689,0,252,0,1,
101,201954,11,Homna,হোমনা,582880,609593,0,250,0,1,
102,201967,11,Comilla Adarsha Sadar ,কুমিল্লা সদর,620834,582366,0,55,0,1,
103,201972,11,Laksam,লাকসাম,612646,560494,0,257,0,1,
104,201974,11,Manoharganj,মনোহরদী,609058,549818,0,55,0,1,
105,201975,11,Meghna,মেঘনা,570836,605993,0,249,0,1,
106,201981,11,Muradnagar,মুরাদনগর,596029,609392,0,251,0,1,
107,201987,11,Nangalkot,নাঙ্গলকোট,623588,550297,0,258,0,1,
108,201994,11,Titas,তিতাস,580934,599327,0,55,0,1,
109,202216,12,Chakaria,চকরিয়া,711460,397136,0,294,0,1,
110,202224,12,Cox'S Bazar Sadar,কক্সবাজার সদর,710311,370710,0,296,0,1,
111,202245,12,Kutubdia,কুতুবদিয়া,692672,407348,0,295,0,1,
112,202249,12,Maheshkhali,মহেশখালী,697978,381699,0,295,0,1,
113,202256,12,Pekua,পেকুয়া,700297,404725,0,294,0,1,
114,202266,12,Ramu,রামু,719448,363731,0,296,0,1,
115,202290,12,Teknaf,টেকনাফ,732037,312902,0,297,0,1,
116,202294,12,Ukhia,উখিয়া,719234,340659,0,297,0,1,
117,203014,13,Chhagalnaiya,ছাগলনাইয়া,653995,537092,0,265,0,1,
118,203025,13,Daganbhuiyan,দাগনভূঁইয়া,632974,531736,0,267,0,1,
119,203029,13,Feni Sadar,ফেনী সদর,644701,533780,0,266,0,1,
120,203041,13,Fulgazi,ফুলগাজী,647633,548903,0,265,0,1,
121,203051,13,Parshuram,পরশুরাম,645565,558539,0,265,0,1,
122,203094,13,Sonagazi,সোনাগাজি,643403,518685,0,267,0,1,
123,204643,14,Dighinala,দীঘিনালা,709845,581434,0,298,0,1,
124,204649,14,Khagrachhari Sadar,খাগড়াছড়ি,704030,553363,0,298,0,1,
125,204661,14,Lakshmichhari,লক্ষ্মীছড়ি,697725,512674,0,298,0,1,
126,204665,14,Mahalchhari,মহলছড়ি,709737,534747,0,298,0,1,
127,204667,14,Manikchhari,মানিকছড়ি,687003,519214,0,298,0,1,
128,204670,14,Matiranga,মাটিরাঙ্গা,691850,547041,0,298,0,1,
129,204677,14,Panchhari,পানছড়ি,692681,571079,0,298,0,1,
130,204680,14,Ramgarh,রামগড়,690508,530898,0,298,0,1,
131,205133,15,Kamalnagar,কমলনগর,587150,507779,0,277,0,1,
132,205143,15,Lakshmipur Sadar,লক্ষ্মীপুর সদর,587090,525010,0,80,0,1,
133,205158,15,Roypur,রায়পুর,574587,534493,0,275,0,1,
134,205165,15,Ramganj,রামগঞ্জ,589261,545221,0,274,0,1,
135,205173,15,Ramgati,রামগতি,596722,492489,0,277,0,1,
136,207507,16,Begumganj,বেগমগঞ্জ,612125,526753,0,270,0,1,
137,207510,16,Chatkhil,চাটখিল,598682,540665,0,268,0,1,
138,207521,16,Companiganj,কোম্পানিগঞ্জ,633753,507459,0,272,0,1,
139,207536,16,Hatiya,হাতিয়া,611911,463539,0,273,0,1,
140,207547,16,Kabirhat,কবিরহাট,621971,512514,0,272,0,1,
141,207580,16,Senbagh,সেনবাগ,624225,533676,0,269,0,1,
142,207583,16,Sonaimuri,সোনাইমুড়ী,610571,537271,0,80,0,1,
143,207585,16,Surbarnachar,সুবর্ণচর,617022,493217,0,271,0,1,
144,207587,16,Noakhali Sadar (Sudh,নোয়াখালী সদর,607325,513359,0,271,0,1,
145,208407,17,Baghai Chhari,বাঘাইছড়ি,727757,580950,0,299,0,1,
146,208421,17,Barkal,বরকল,740132,517615,0,299,0,1,
147,208425,17,Kawkhali (Betbunia),কাউখালি (বেতবুনিয়া),706089,494605,0,299,0,1,
148,208429,17,Belai Chhari,বিলাইছড়ি,755494,459322,0,299,0,1,
149,208436,17,Kaptai,কাপ্তাই,728054,482515,0,299,0,1,
150,208447,17,Jurai Chhari,জুরাইছড়ি,749609,494513,0,299,0,1,
151,208458,17,Langadu,লংগদু,727675,535368,0,299,0,1,
152,208475,17,Naniarchar,নানিয়ারচর,712201,517688,0,299,0,1,
153,208478,17,Rajasthali,রাজস্থলী,728283,470481,0,299,0,1,
154,208487,17,Rangamati Sadar,রাঙ্গামাটি সদর,725165,497810,0,299,0,1,
155,302618,18,Dohar,দোহার,512156,600819,0,174,0,1,
156,302903,19,Alfadanga,আলফাডাঙ্গা,466502,567178,0,211,0,1,
157,302910,19,Bhanga,ভাঙ্গা,501285,577138,0,214,0,1,
158,302918,19,Boalmari,বোয়ালমারী,469382,579048,0,211,0,1,
