upazila_ID;Upz_geocode;distr_ID;Upazilla;bn_name;DS_X;DS_Y;Number;Constituency ;Isdelete;UserID;,
371;506963;48;Natore Sadar;????? ???;398254;688788;0;59;0;1;,
372;506991;48;Singra;??????;417948;702747;0;60;0;1;,
373;507018;49;Bholahat;???????;320160;744793;0;44;0;1;,
374;507037;49;Gomastapur;??????????;334712;740479;0;44;0;1;,
375;507056;49;Nachole;?????;338650;725875;0;44;0;1;,
376;507066;49;Chapai Nawabganj Sadar;???????? ???;324490;708131;0;45;0;1;,
377;507088;49;Shibganj;???????;314407;723674;0;43;0;1;,
378;507605;50;Atgharia;???????;430174;655222;0;71;0;1;,
379;507616;50;Bera;????;464661;636359;0;68;0;1;,
380;507619;50;Bhangura;????????;439168;671159;0;70;0;1;,
381;507622;50;Chatmohar;???????;429704;669538;0;70;0;1;,
382;507633;50;Faridpur;???????;444730;662084;0;70;0;1;,
383;507639;50;Ishwardi;???????;410381;654459;0;72;0;1;,
384;507655;50;Pabna Sadar;????? ???;428456;643538;0;73;0;1;,
385;507672;50;Santhia;???????? ;451397;649172;0;68;0;1;,
386;507683;50;Sujanagar;???????;449682;633871;0;69;0;1;,
387;508110;51;Bagha;????;381550;668472;0;57;0;1;,
388;508112;51;Baghmara;???????;380272;711036;0;55;0;1;,
389;508122;51;Boalia;????????;358459;684232;0;53;0;1;,
390;508125;51;Charghat;??????;375706;679219;0;57;0;1;,
391;508131;51;Durgapur;?????????;375405;697368;0;56;0;1;,
392;508134;51;Godagari;????????;340223;698959;0;52;0;1;,
393;508140;51;Matihar;??????;363376;685083;0;54;0;1;,
394;508153;51;Mohanpur;???????;363132;706602;0;53;0;1;,
395;508172;51;Paba;???;359150;693929;0;54;0;1;,
396;508182;51;Puthia;??????;381829;690506;0;56;0;1;,
397;508185;51;Rajpara;???????;355988;686489;0;53;0;1;,
398;508190;51;Shah Makdum;??? ?????;359662;689357;0;53;0;1;,
399;508194;51;Tanore;?????;352091;713987;0;52;0;1;,
400;508811;52;Belkuchi;???????;469988;677846;0;66;0;1;,
401;508827;52;Chauhali;??????;475658;660145;0;66;0;1;,
402;508844;52;Kamarkhanda;???????????;464104;686527;0;63;0;1;,
