div_id,dvname,dvname_bn,dv_x,dv_y,isdelete,user_id
10,Barisal,বরিশাল,532939,489033,0,1
20,Chittagon,চট্টগ্রাম,662025,522070,0,1
30,Dhaka,ঢাকা,531965,666986,0,1
40,Mymensingh,ময়মনসিংহ,,,0,1
50,Khulna,খুলনা,427249,556302,0,1
60,Rajshahi,রাজশাহী,407065,781473,0,1
70,Rangpur,রংপুর,0,0,0,1
80,Sylhet,সিলেট,667888,734460,0,1
